round_number,event_name,driver_code,team_name,race_points,cumulative_points,position,narrative_phase
7,Emilia Romagna Grand Prix,PIA,McLaren,15.0,132.0,3,McLaren Dominance
8,Monaco Grand Prix,PIA,McLaren,15.0,147.0,3,McLaren Dominance
9,Spanish Grand Prix,PIA,McLaren,25.0,172.0,1,McLaren Dominance
10,Canadian Grand Prix,PIA,McLaren,12.0,184.0,4,Three-Way Battle
11,Austrian Grand Prix,PIA,McLaren,18.0,202.0,2,Three-Way Battle
12,British Grand Prix,PIA,McLaren,18.0,220.0,2,Three-Way Battle
13,Belgian Grand Prix,PIA,McLaren,25.0,245.0,1,Three-Way Battle
14,Hungarian Grand Prix,PIA,McLaren,18.0,263.0,2,Turning Point
15,Dutch Grand Prix,PIA,McLaren,25.0,288.0,1,Finale
16,Italian Grand Prix,PIA,McLaren,15.0,303.0,3,Finale
17,Azerbaijan Grand Prix,PIA,McLaren,0.0,303.0,20,Finale
18,Singapore Grand Prix,PIA,McLaren,12.0,315.0,4,Finale
19,United States Grand Prix,PIA,McLaren,10.0,325.0,5,Finale
20,Mexico City Grand Prix,PIA,McLaren,10.0,335.0,5,Finale
21,São Paulo Grand Prix,PIA,McLaren,10.0,345.0,5,Finale
22,Las Vegas Grand Prix,PIA,McLaren,0.0,345.0,20,Finale
23,Qatar Grand Prix,PIA,McLaren,18.0,363.0,2,Finale
24,Abu Dhabi Grand Prix,PIA,McLaren,18.0,381.0,2,Finale
1,Australian Grand Prix,RUS,Mercedes,15.0,15.0,3,Season Start
2,Chinese Grand Prix,RUS,Mercedes,15.0,30.0,3,Season Start
3,Japanese Grand Prix,RUS,Mercedes,10.0,40.0,5,Season Start
4,Bahrain Grand Prix,RUS,Mercedes,18.0,58.0,2,Season Start
5,Saudi Arabian Grand Prix,RUS,Mercedes,10.0,68.0,5,McLaren Dominance
6,Miami Grand Prix,RUS,Mercedes,15.0,83.0,3,McLaren Dominance
7,Emilia Romagna Grand Prix,RUS,Mercedes,6.0,89.0,7,McLaren Dominance
8,Monaco Grand Prix,RUS,Mercedes,0.0,89.0,11,McLaren Dominance
9,Spanish Grand Prix,RUS,Mercedes,12.0,101.0,4,McLaren Dominance
10,Canadian Grand Prix,RUS,Mercedes,25.0,126.0,1,Three-Way Battle
11,Austrian Grand Prix,RUS,Mercedes,10.0,136.0,5,Three-Way Battle
12,British Grand Prix,RUS,Mercedes,1.0,137.0,10,Three-Way Battle
13,Belgian Grand Prix,RUS,Mercedes,10.0,147.0,5,Three-Way Battle
14,Hungarian Grand Prix,RUS,Mercedes,15.0,162.0,3,Turning Point
15,Dutch Grand Prix,RUS,Mercedes,12.0,174.0,4,Finale
16,Italian Grand Prix,RUS,Mercedes,10.0,184.0,5,Finale
17,Azerbaijan Grand Prix,RUS,Mercedes,18.0,202.0,2,Finale
18,Singapore Grand Prix,RUS,Mercedes,25.0,227.0,1,Finale
19,United States Grand Prix,RUS,Mercedes,8.0,235.0,6,Finale
20,Mexico City Grand Prix,RUS,Mercedes,6.0,241.0,7,Finale
21,São Paulo Grand Prix,RUS,Mercedes,12.0,253.0,4,Finale
22,Las Vegas Grand Prix,RUS,Mercedes,18.0,271.0,2,Finale
23,Qatar Grand Prix,RUS,Mercedes,8.0,279.0,6,Finale
24,Abu Dhabi Grand Prix,RUS,Mercedes,10.0,289.0,5,Finale
1,Australian Grand Prix,SAI,Williams,0.0,0.0,18,Season Start
2,Chinese Grand Prix,SAI,Williams,1.0,1.0,10,Season Start
3,Japanese Grand Prix,SAI,Williams,0.0,1.0,14,Season Start
4,Bahrain Grand Prix,SAI,Williams,0.0,1.0,19,Season Start
5,Saudi Arabian Grand Prix,SAI,Williams,4.0,5.0,8,McLaren Dominance
6,Miami Grand Prix,SAI,Williams,2.0,7.0,9,McLaren Dominance
7,Emilia Romagna Grand Prix,SAI,Williams,4.0,11.0,8,McLaren Dominance
8,Monaco Grand Prix,SAI,Williams,1.0,12.0,10,McLaren Dominance
9,Spanish Grand Prix,SAI,Williams,0.0,12.0,14,McLaren Dominance
10,Canadian Grand Prix,SAI,Williams,1.0,13.0,10,Three-Way Battle
11,Austrian Grand Prix,SAI,Williams,0.0,13.0,20,Three-Way Battle
12,British Grand Prix,SAI,Williams,0.0,13.0,12,Three-Way Battle
13,Belgian Grand Prix,SAI,Williams,0.0,13.0,18,Three-Way Battle
14,Hungarian Grand Prix,SAI,Williams,0.0,13.0,14,Turning Point
15,Dutch Grand Prix,SAI,Williams,0.0,13.0,13,Finale
16,Italian Grand Prix,SAI,Williams,0.0,13.0,11,Finale
17,Azerbaijan Grand Prix,SAI,Williams,15.0,28.0,3,Finale
18,Singapore Grand Prix,SAI,Williams,1.0,29.0,10,Finale
19,United States Grand Prix,SAI,Williams,0.0,29.0,20,Finale
20,Mexico City Grand Prix,SAI,Williams,0.0,29.0,17,Finale
21,São Paulo Grand Prix,SAI,Williams,0.0,29.0,13,Finale
22,Las Vegas Grand Prix,SAI,Williams,10.0,39.0,5,Finale
23,Qatar Grand Prix,SAI,Williams,15.0,54.0,3,Finale
24,Abu Dhabi Grand Prix,SAI,Williams,0.0,54.0,13,Finale
1,Australian Grand Prix,STR,Aston Martin,8.0,8.0,6,Season Start
2,Chinese Grand Prix,STR,Aston Martin,2.0,10.0,9,Season Start
3,Japanese Grand Prix,STR,Aston Martin,0.0,10.0,20,Season Start
4,Bahrain Grand Prix,STR,Aston Martin,0.0,10.0,17,Season Start
5,Saudi Arabian Grand Prix,STR,Aston Martin,0.0,10.0,16,McLaren Dominance
6,Miami Grand Prix,STR,Aston Martin,0.0,10.0,16,McLaren Dominance
7,Emilia Romagna Grand Prix,STR,Aston Martin,0.0,10.0,15,McLaren Dominance
8,Monaco Grand Prix,STR,Aston Martin,0.0,10.0,15,McLaren Dominance
9,Spanish Grand Prix,STR,Aston Martin,0.0,10.0,,McLaren Dominance
10,Canadian Grand Prix,STR,Aston Martin,0.0,10.0,17,Three-Way Battle
11,Austrian Grand Prix,STR,Aston Martin,0.0,10.0,14,Three-Way Battle
12,British Grand Prix,STR,Aston Martin,6.0,16.0,7,Three-Way Battle
13,Belgian Grand Prix,STR,Aston Martin,0.0,16.0,14,Three-Way Battle
14,Hungarian Grand Prix,STR,Aston Martin,6.0,22.0,7,Turning Point
15,Dutch Grand Prix,STR,Aston Martin,6.0,28.0,7,Finale
16,Italian Grand Prix,STR,Aston Martin,0.0,28.0,18,Finale
17,Azerbaijan Grand Prix,STR,Aston Martin,0.0,28.0,17,Finale
18,Singapore Grand Prix,STR,Aston Martin,0.0,28.0,13,Finale
19,United States Grand Prix,STR,Aston Martin,0.0,28.0,12,Finale
20,Mexico City Grand Prix,STR,Aston Martin,0.0,28.0,14,Finale
21,São Paulo Grand Prix,STR,Aston Martin,0.0,28.0,16,Finale
22,Las Vegas Grand Prix,STR,Aston Martin,0.0,28.0,18,Finale
23,Qatar Grand Prix,STR,Aston Martin,0.0,28.0,17,Finale
24,Abu Dhabi Grand Prix,STR,Aston Martin,1.0,29.0,10,Finale
1,Australian Grand Prix,TSU,Red Bull Racing,0.0,0.0,12,Season Start
2,Chinese Grand Prix,TSU,Red Bull Racing,0.0,0.0,16,Season Start
3,Japanese Grand Prix,TSU,Red Bull Racing,0.0,0.0,12,Season Start
4,Bahrain Grand Prix,TSU,Red Bull Racing,2.0,2.0,9,Season Start
5,Saudi Arabian Grand Prix,TSU,Red Bull Racing,0.0,2.0,19,McLaren Dominance
6,Miami Grand Prix,TSU,Red Bull Racing,1.0,3.0,10,McLaren Dominance
7,Emilia Romagna Grand Prix,TSU,Red Bull Racing,1.0,4.0,10,McLaren Dominance
8,Monaco Grand Prix,TSU,Red Bull Racing,0.0,4.0,17,McLaren Dominance
9,Spanish Grand Prix,TSU,Red Bull Racing,0.0,4.0,13,McLaren Dominance
10,Canadian Grand Prix,TSU,Red Bull Racing,0.0,4.0,12,Three-Way Battle
11,Austrian Grand Prix,TSU,Red Bull Racing,0.0,4.0,16,Three-Way Battle
12,British Grand Prix,TSU,Red Bull Racing,0.0,4.0,15,Three-Way Battle
13,Belgian Grand Prix,TSU,Red Bull Racing,0.0,4.0,13,Three-Way Battle
14,Hungarian Grand Prix,TSU,Red Bull Racing,0.0,4.0,17,Turning Point
15,Dutch Grand Prix,TSU,Red Bull Racing,2.0,6.0,9,Finale
16,Italian Grand Prix,TSU,Red Bull Racing,0.0,6.0,13,Finale
17,Azerbaijan Grand Prix,TSU,Red Bull Racing,8.0,14.0,6,Finale
18,Singapore Grand Prix,TSU,Red Bull Racing,0.0,14.0,12,Finale
19,United States Grand Prix,TSU,Red Bull Racing,6.0,20.0,7,Finale
20,Mexico City Grand Prix,TSU,Red Bull Racing,0.0,20.0,11,Finale
21,São Paulo Grand Prix,TSU,Red Bull Racing,0.0,20.0,17,Finale
22,Las Vegas Grand Prix,TSU,Red Bull Racing,0.0,20.0,12,Finale
23,Qatar Grand Prix,TSU,Red Bull Racing,1.0,21.0,10,Finale
24,Abu Dhabi Grand Prix,TSU,Red Bull Racing,0.0,21.0,14,Finale
1,Australian Grand Prix,VER,Red Bull Racing,18.0,18.0,2,Season Start
2,Chinese Grand Prix,VER,Red Bull Racing,12.0,30.0,4,Season Start
3,Japanese Grand Prix,VER,Red Bull Racing,25.0,55.0,1,Season Start
4,Bahrain Grand Prix,VER,Red Bull Racing,8.0,63.0,6,Season Start
5,Saudi Arabian Grand Prix,VER,Red Bull Racing,18.0,81.0,2,McLaren Dominance
6,Miami Grand Prix,VER,Red Bull Racing,12.0,93.0,4,McLaren Dominance
7,Emilia Romagna Grand Prix,VER,Red Bull Racing,25.0,118.0,1,McLaren Dominance
8,Monaco Grand Prix,VER,Red Bull Racing,12.0,130.0,4,McLaren Dominance
9,Spanish Grand Prix,VER,Red Bull Racing,1.0,131.0,10,McLaren Dominance
10,Canadian Grand Prix,VER,Red Bull Racing,18.0,149.0,2,Three-Way Battle
11,Austrian Grand Prix,VER,Red Bull Racing,0.0,149.0,18,Three-Way Battle
12,British Grand Prix,VER,Red Bull Racing,10.0,159.0,5,Three-Way Battle
13,Belgian Grand Prix,VER,Red Bull Racing,12.0,171.0,4,Three-Way Battle
14,Hungarian Grand Prix,VER,Red Bull Racing,2.0,173.0,9,Turning Point
15,Dutch Grand Prix,VER,Red Bull Racing,18.0,191.0,2,Finale
16,Italian Grand Prix,VER,Red Bull Racing,25.0,216.0,1,Finale
17,Azerbaijan Grand Prix,VER,Red Bull Racing,25.0,241.0,1,Finale
18,Singapore Grand Prix,VER,Red Bull Racing,18.0,259.0,2,Finale
19,United States Grand Prix,VER,Red Bull Racing,25.0,284.0,1,Finale
20,Mexico City Grand Prix,VER,Red Bull Racing,15.0,299.0,3,Finale
21,São Paulo Grand Prix,VER,Red Bull Racing,15.0,314.0,3,Finale
22,Las Vegas Grand Prix,VER,Red Bull Racing,25.0,339.0,1,Finale
23,Qatar Grand Prix,VER,Red Bull Racing,25.0,364.0,1,Finale
24,Abu Dhabi Grand Prix,VER,Red Bull Racing,25.0,389.0,1,Finale
